Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
151,123,,,,,,,,,,,,,,,,,,,,,,,,
152,122,,,,,,,,,,,,,,,,,,,,,,,,
153,122,,,,,,,,,,,,,,,,,,,,,,,,
154,214,,,,,,,,,,,,,,,,,,,,,,,,
155,120,,,,,,,,,,,,,,,,,,,,,,,,
156,119,,,,,,,,,,,,,,,,,,,,,,,,
157,118,,,,,,,,,,,,,,,,,,,,,,,,
158,117,,,,,,,,,,,,,,,,,,,,,,,,
159,116,,,,,,,,,,,,,,,,,,,,,,,,
160,116,,,,,,,,,,,,,,,,,,,,,,,,
161,116,,,,,,,,,,,,,,,,,,,,,,,,
162,116,,,,,,,,,,,,,,,,,,,,,,,,
163,116,,,,,,,,,,,,,,,,,,,,,,,,
164,116,,,,,,,,,,,,,,,,,,,,,,,,
165,124,,,,,,,,,,,,,,,,,,,,,,,,
166,117,,,,,,,,,,,,,,,,,,,,,,,,
167,117,,,,,,,,,,,,,,,,,,,,,,,,
168,117,,,,,,,,,,,,,,,,,,,,,,,,
169,117,,,,,,,,,,,,,,,,,,,,,,,,
170,118,,,,,,,,,,,,,,,,,,,,,,,,
171,118,,,,,,,,,,,,,,,,,,,,,,,,
172,119,,,,,,,,,,,,,,,,,,,,,,,,
173,119,,,,,,,,,,,,,,,,,,,,,,,,
174,120,,,,,,,,,,,,,,,,,,,,,,,,
175,120,,,,,,,,,,,,,,,,,,,,,,,,
176,123,,,,,,,,,,,,,,,,,,,,,,,,
177,121,,,,,,,,,,,,,,,,,,,,,,,,
178,121,,,,,,,,,,,,,,,,,,,,,,,,
179,121,,,,,,,,,,,,,,,,,,,,,,,,
180,121,,,,,,,,,,,,,,,,,,,,,,,,
181,146,,,,,,,,,,,,,,,,,,,,,,,,
182,121,,,,,,,,,,,,,,,,,,,,,,,,
183,121,,,,,,,,,,,,,,,,,,,,,,,,
184,121,,,,,,,,,,,,,,,,,,,,,,,,
185,120,,,,,,,,,,,,,,,,,,,,,,,,
186,121,,,,,,,,,,,,,,,,,,,,,,,,
187,121,,,,,,,,,,,,,,,,,,,,,,,,
188,121,,,,,,,,,,,,,,,,,,,,,,,,
189,121,,,,,,,,,,,,,,,,,,,,,,,,
190,121,,,,,,,,,,,,,,,,,,,,,,,,
191,121,,,,,,,,,,,,,,,,,,,,,,,,
192,202,,,,,,,,,,,,,,,,,,,,,,,,
193,121,,,,,,,,,,,,,,,,,,,,,,,,
194,121,,,,,,,,,,,,,,,,,,,,,,,,
195,121,,,,,,,,,,,,,,,,,,,,,,,,
196,121,,,,,,,,,,,,,,,,,,,,,,,,
197,121,,,,,,,,,,,,,,,,,,,,,,,,
198,121,,,,,,,,,,,,,,,,,,,,,,,,
199,122,,,,,,,,,,,,,,,,,,,,,,,,
200,122,,,,,,,,,,,,,,,,,,,,,,,,
201,122,,,,,,,,,,,,,,,,,,,,,,,,
202,121,,,,,,,,,,,,,,,,,,,,,,,,
203,220,,,,,,,,,,,,,,,,,,,,,,,,
204,121,,,,,,,,,,,,,,,,,,,,,,,,
205,121,,,,,,,,,,,,,,,,,,,,,,,,
206,122,,,,,,,,,,,,,,,,,,,,,,,,
207,121,,,,,,,,,,,,,,,,,,,,,,,,
208,122,,,,,,,,,,,,,,,,,,,,,,,,
209,121,,,,,,,,,,,,,,,,,,,,,,,,
210,121,,,,,,,,,,,,,,,,,,,,,,,,
211,121,,,,,,,,,,,,,,,,,,,,,,,,
212,122,,,,,,,,,,,,,,,,,,,,,,,,
213,121,,,,,,,,,,,,,,,,,,,,,,,,
214,225,,,,,,,,,,,,,,,,,,,,,,,,
215,120,,,,,,,,,,,,,,,,,,,,,,,,
216,121,,,,,,,,,,,,,,,,,,,,,,,,
217,121,,,,,,,,,,,,,,,,,,,,,,,,
218,121,,,,,,,,,,,,,,,,,,,,,,,,
219,121,,,,,,,,,,,,,,,,,,,,,,,,
220,122,,,,,,,,,,,,,,,,,,,,,,,,
221,122,,,,,,,,,,,,,,,,,,,,,,,,
222,121,,,,,,,,,,,,,,,,,,,,,,,,
223,121,,,,,,,,,,,,,,,,,,,,,,,,
224,122,,,,,,,,,,,,,,,,,,,,,,,,
225,228,,,,,,,,,,,,,,,,,,,,,,,,
226,121,,,,,,,,,,,,,,,,,,,,,,,,
227,121,,,,,,,,,,,,,,,,,,,,,,,,
228,121,,,,,,,,,,,,,,,,,,,,,,,,
229,121,,,,,,,,,,,,,,,,,,,,,,,,
230,166,,,,,,,,,,,,,,,,,,,,,,,,
231,121,,,,,,,,,,,,,,,,,,,,,,,,
232,122,,,,,,,,,,,,,,,,,,,,,,,,
233,121,,,,,,,,,,,,,,,,,,,,,,,,
234,122,,,,,,,,,,,,,,,,,,,,,,,,
235,122,,,,,,,,,,,,,,,,,,,,,,,,
236,231,,,,,,,,,,,,,,,,,,,,,,,,
237,122,,,,,,,,,,,,,,,,,,,,,,,,
238,121,,,,,,,,,,,,,,,,,,,,,,,,
239,122,,,,,,,,,,,,,,,,,,,,,,,,
240,122,,,,,,,,,,,,,,,,,,,,,,,,
241,214,,,,,,,,,,,,,,,,,,,,,,,,
242,122,,,,,,,,,,,,,,,,,,,,,,,,
243,122,,,,,,,,,,,,,,,,,,,,,,,,
244,120,,,,,,,,,,,,,,,,,,,,,,,,
245,120,,,,,,,,,,,,,,,,,,,,,,,,
246,119,,,,,,,,,,,,,,,,,,,,,,,,
247,217,,,,,,,,,,,,,,,,,,,,,,,,
248,117,,,,,,,,,,,,,,,,,,,,,,,,
249,116,,,,,,,,,,,,,,,,,,,,,,,,
250,115,,,,,,,,,,,,,,,,,,,,,,,,
251,114,,,,,,,,,,,,,,,,,,,,,,,,
252,188,,,,,,,,,,,,,,,,,,,,,,,,
253,112,,,,,,,,,,,,,,,,,,,,,,,,
254,115,,,,,,,,,,,,,,,,,,,,,,,,
255,114,,,,,,,,,,,,,,,,,,,,,,,,
256,114,,,,,,,,,,,,,,,,,,,,,,,,
257,112,,,,,,,,,,,,,,,,,,,,,,,,
258,187,,,,,,,,,,,,,,,,,,,,,,,,
259,112,,,,,,,,,,,,,,,,,,,,,,,,
260,112,,,,,,,,,,,,,,,,,,,,,,,,
261,112,,,,,,,,,,,,,,,,,,,,,,,,
262,112,,,,,,,,,,,,,,,,,,,,,,,,
263,185,,,,,,,,,,,,,,,,,,,,,,,,
264,112,,,,,,,,,,,,,,,,,,,,,,,,
265,114,,,,,,,,,,,,,,,,,,,,,,,,
266,114,,,,,,,,,,,,,,,,,,,,,,,,
267,114,,,,,,,,,,,,,,,,,,,,,,,,
268,112,,,,,,,,,,,,,,,,,,,,,,,,
269,162,,,,,,,,,,,,,,,,,,,,,,,,
270,112,,,,,,,,,,,,,,,,,,,,,,,,
271,111,,,,,,,,,,,,,,,,,,,,,,,,
272,112,,,,,,,,,,,,,,,,,,,,,,,,
273,112,,,,,,,,,,,,,,,,,,,,,,,,
274,187,,,,,,,,,,,,,,,,,,,,,,,,
275,112,,,,,,,,,,,,,,,,,,,,,,,,
276,115,,,,,,,,,,,,,,,,,,,,,,,,
277,114,,,,,,,,,,,,,,,,,,,,,,,,
278,113,,,,,,,,,,,,,,,,,,,,,,,,
279,112,,,,,,,,,,,,,,,,,,,,,,,,
280,117,,,,,,,,,,,,,,,,,,,,,,,,
281,112,,,,,,,,,,,,,,,,,,,,,,,,
282,112,,,,,,,,,,,,,,,,,,,,,,,,
283,112,,,,,,,,,,,,,,,,,,,,,,,,
284,111,,,,,,,,,,,,,,,,,,,,,,,,
285,187,,,,,,,,,,,,,,,,,,,,,,,,
286,112,,,,,,,,,,,,,,,,,,,,,,,,
287,115,,,,,,,,,,,,,,,,,,,,,,,,
288,114,,,,,,,,,,,,,,,,,,,,,,,,
289,114,,,,,,,,,,,,,,,,,,,,,,,,
290,112,,,,,,,,,,,,,,,,,,,,,,,,
