Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
337,119,,,,,,,,,,,,,,,,,,,,,,,,
338,118,,,,,,,,,,,,,,,,,,,,,,,,
339,205,,,,,,,,,,,,,,,,,,,,,,,,
340,119,,,,,,,,,,,,,,,,,,,,,,,,
341,118,,,,,,,,,,,,,,,,,,,,,,,,
342,119,,,,,,,,,,,,,,,,,,,,,,,,
343,118,,,,,,,,,,,,,,,,,,,,,,,,
344,118,,,,,,,,,,,,,,,,,,,,,,,,
345,207,,,,,,,,,,,,,,,,,,,,,,,,
346,119,,,,,,,,,,,,,,,,,,,,,,,,
347,119,,,,,,,,,,,,,,,,,,,,,,,,
348,119,,,,,,,,,,,,,,,,,,,,,,,,
349,118,,,,,,,,,,,,,,,,,,,,,,,,
350,212,,,,,,,,,,,,,,,,,,,,,,,,
351,119,,,,,,,,,,,,,,,,,,,,,,,,
352,119,,,,,,,,,,,,,,,,,,,,,,,,
353,119,,,,,,,,,,,,,,,,,,,,,,,,
354,118,,,,,,,,,,,,,,,,,,,,,,,,
355,118,,,,,,,,,,,,,,,,,,,,,,,,
356,212,,,,,,,,,,,,,,,,,,,,,,,,
357,119,,,,,,,,,,,,,,,,,,,,,,,,
358,119,,,,,,,,,,,,,,,,,,,,,,,,
359,119,,,,,,,,,,,,,,,,,,,,,,,,
360,119,,,,,,,,,,,,,,,,,,,,,,,,
361,214,,,,,,,,,,,,,,,,,,,,,,,,
362,119,,,,,,,,,,,,,,,,,,,,,,,,
363,119,,,,,,,,,,,,,,,,,,,,,,,,
364,118,,,,,,,,,,,,,,,,,,,,,,,,
365,119,,,,,,,,,,,,,,,,,,,,,,,,
366,123,,,,,,,,,,,,,,,,,,,,,,,,
367,214,,,,,,,,,,,,,,,,,,,,,,,,
368,118,,,,,,,,,,,,,,,,,,,,,,,,
369,119,,,,,,,,,,,,,,,,,,,,,,,,
370,118,,,,,,,,,,,,,,,,,,,,,,,,
371,133,,,,,,,,,,,,,,,,,,,,,,,,
372,215,,,,,,,,,,,,,,,,,,,,,,,,
373,119,,,,,,,,,,,,,,,,,,,,,,,,
374,119,,,,,,,,,,,,,,,,,,,,,,,,
375,118,,,,,,,,,,,,,,,,,,,,,,,,
376,118,,,,,,,,,,,,,,,,,,,,,,,,
377,155,,,,,,,,,,,,,,,,,,,,,,,,
378,216,,,,,,,,,,,,,,,,,,,,,,,,
379,119,,,,,,,,,,,,,,,,,,,,,,,,
380,119,,,,,,,,,,,,,,,,,,,,,,,,
381,118,,,,,,,,,,,,,,,,,,,,,,,,
382,173,,,,,,,,,,,,,,,,,,,,,,,,
383,216,,,,,,,,,,,,,,,,,,,,,,,,
384,119,,,,,,,,,,,,,,,,,,,,,,,,
385,118,,,,,,,,,,,,,,,,,,,,,,,,
386,119,,,,,,,,,,,,,,,,,,,,,,,,
387,119,,,,,,,,,,,,,,,,,,,,,,,,
388,200,,,,,,,,,,,,,,,,,,,,,,,,
389,216,,,,,,,,,,,,,,,,,,,,,,,,
390,119,,,,,,,,,,,,,,,,,,,,,,,,
391,119,,,,,,,,,,,,,,,,,,,,,,,,
392,119,,,,,,,,,,,,,,,,,,,,,,,,
393,204,,,,,,,,,,,,,,,,,,,,,,,,
394,215,,,,,,,,,,,,,,,,,,,,,,,,
395,118,,,,,,,,,,,,,,,,,,,,,,,,
396,119,,,,,,,,,,,,,,,,,,,,,,,,
397,118,,,,,,,,,,,,,,,,,,,,,,,,
398,119,,,,,,,,,,,,,,,,,,,,,,,,
399,209,,,,,,,,,,,,,,,,,,,,,,,,
400,215,,,,,,,,,,,,,,,,,,,,,,,,
401,119,,,,,,,,,,,,,,,,,,,,,,,,
402,118,,,,,,,,,,,,,,,,,,,,,,,,
403,118,,,,,,,,,,,,,,,,,,,,,,,,
404,211,,,,,,,,,,,,,,,,,,,,,,,,
405,215,,,,,,,,,,,,,,,,,,,,,,,,
406,118,,,,,,,,,,,,,,,,,,,,,,,,
407,118,,,,,,,,,,,,,,,,,,,,,,,,
408,118,,,,,,,,,,,,,,,,,,,,,,,,
409,119,,,,,,,,,,,,,,,,,,,,,,,,
410,213,,,,,,,,,,,,,,,,,,,,,,,,
411,215,,,,,,,,,,,,,,,,,,,,,,,,
412,118,,,,,,,,,,,,,,,,,,,,,,,,
413,118,,,,,,,,,,,,,,,,,,,,,,,,
414,119,,,,,,,,,,,,,,,,,,,,,,,,
415,213,,,,,,,,,,,,,,,,,,,,,,,,
416,212,,,,,,,,,,,,,,,,,,,,,,,,
417,118,,,,,,,,,,,,,,,,,,,,,,,,
418,118,,,,,,,,,,,,,,,,,,,,,,,,
419,118,,,,,,,,,,,,,,,,,,,,,,,,
