Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
227,114,,,,,,,,,,,,,,,,,,,,,,,,
228,113,,,,,,,,,,,,,,,,,,,,,,,,
229,114,,,,,,,,,,,,,,,,,,,,,,,,
230,113,,,,,,,,,,,,,,,,,,,,,,,,
231,113,,,,,,,,,,,,,,,,,,,,,,,,
232,113,,,,,,,,,,,,,,,,,,,,,,,,
233,115,,,,,,,,,,,,,,,,,,,,,,,,
234,113,,,,,,,,,,,,,,,,,,,,,,,,
235,113,,,,,,,,,,,,,,,,,,,,,,,,
236,114,,,,,,,,,,,,,,,,,,,,,,,,
237,113,,,,,,,,,,,,,,,,,,,,,,,,
238,114,,,,,,,,,,,,,,,,,,,,,,,,
239,113,,,,,,,,,,,,,,,,,,,,,,,,
240,115,,,,,,,,,,,,,,,,,,,,,,,,
241,114,,,,,,,,,,,,,,,,,,,,,,,,
242,114,,,,,,,,,,,,,,,,,,,,,,,,
243,114,,,,,,,,,,,,,,,,,,,,,,,,
244,113,,,,,,,,,,,,,,,,,,,,,,,,
245,115,,,,,,,,,,,,,,,,,,,,,,,,
246,113,,,,,,,,,,,,,,,,,,,,,,,,
247,113,,,,,,,,,,,,,,,,,,,,,,,,
248,114,,,,,,,,,,,,,,,,,,,,,,,,
249,114,,,,,,,,,,,,,,,,,,,,,,,,
250,113,,,,,,,,,,,,,,,,,,,,,,,,
251,115,,,,,,,,,,,,,,,,,,,,,,,,
252,114,,,,,,,,,,,,,,,,,,,,,,,,
253,113,,,,,,,,,,,,,,,,,,,,,,,,
254,113,,,,,,,,,,,,,,,,,,,,,,,,
255,113,,,,,,,,,,,,,,,,,,,,,,,,
256,119,,,,,,,,,,,,,,,,,,,,,,,,
257,113,,,,,,,,,,,,,,,,,,,,,,,,
258,113,,,,,,,,,,,,,,,,,,,,,,,,
259,114,,,,,,,,,,,,,,,,,,,,,,,,
260,113,,,,,,,,,,,,,,,,,,,,,,,,
261,113,,,,,,,,,,,,,,,,,,,,,,,,
262,116,,,,,,,,,,,,,,,,,,,,,,,,
263,112,,,,,,,,,,,,,,,,,,,,,,,,
264,113,,,,,,,,,,,,,,,,,,,,,,,,
265,113,,,,,,,,,,,,,,,,,,,,,,,,
266,113,,,,,,,,,,,,,,,,,,,,,,,,
267,183,,,,,,,,,,,,,,,,,,,,,,,,
268,114,,,,,,,,,,,,,,,,,,,,,,,,
269,113,,,,,,,,,,,,,,,,,,,,,,,,
270,113,,,,,,,,,,,,,,,,,,,,,,,,
271,113,,,,,,,,,,,,,,,,,,,,,,,,
272,114,,,,,,,,,,,,,,,,,,,,,,,,
273,116,,,,,,,,,,,,,,,,,,,,,,,,
274,114,,,,,,,,,,,,,,,,,,,,,,,,
275,114,,,,,,,,,,,,,,,,,,,,,,,,
276,114,,,,,,,,,,,,,,,,,,,,,,,,
277,113,,,,,,,,,,,,,,,,,,,,,,,,
278,183,,,,,,,,,,,,,,,,,,,,,,,,
279,113,,,,,,,,,,,,,,,,,,,,,,,,
280,113,,,,,,,,,,,,,,,,,,,,,,,,
281,113,,,,,,,,,,,,,,,,,,,,,,,,
282,114,,,,,,,,,,,,,,,,,,,,,,,,
283,114,,,,,,,,,,,,,,,,,,,,,,,,
284,116,,,,,,,,,,,,,,,,,,,,,,,,
285,114,,,,,,,,,,,,,,,,,,,,,,,,
286,114,,,,,,,,,,,,,,,,,,,,,,,,
287,113,,,,,,,,,,,,,,,,,,,,,,,,
288,114,,,,,,,,,,,,,,,,,,,,,,,,
289,177,,,,,,,,,,,,,,,,,,,,,,,,
290,114,,,,,,,,,,,,,,,,,,,,,,,,
291,114,,,,,,,,,,,,,,,,,,,,,,,,
292,114,,,,,,,,,,,,,,,,,,,,,,,,
293,114,,,,,,,,,,,,,,,,,,,,,,,,
294,115,,,,,,,,,,,,,,,,,,,,,,,,
295,116,,,,,,,,,,,,,,,,,,,,,,,,
296,115,,,,,,,,,,,,,,,,,,,,,,,,
297,115,,,,,,,,,,,,,,,,,,,,,,,,
298,114,,,,,,,,,,,,,,,,,,,,,,,,
299,115,,,,,,,,,,,,,,,,,,,,,,,,
300,161,,,,,,,,,,,,,,,,,,,,,,,,
301,115,,,,,,,,,,,,,,,,,,,,,,,,
302,114,,,,,,,,,,,,,,,,,,,,,,,,
303,115,,,,,,,,,,,,,,,,,,,,,,,,
304,115,,,,,,,,,,,,,,,,,,,,,,,,
305,115,,,,,,,,,,,,,,,,,,,,,,,,
306,116,,,,,,,,,,,,,,,,,,,,,,,,
307,116,,,,,,,,,,,,,,,,,,,,,,,,
308,116,,,,,,,,,,,,,,,,,,,,,,,,
309,115,,,,,,,,,,,,,,,,,,,,,,,,
310,115,,,,,,,,,,,,,,,,,,,,,,,,
311,116,,,,,,,,,,,,,,,,,,,,,,,,
312,115,,,,,,,,,,,,,,,,,,,,,,,,
313,115,,,,,,,,,,,,,,,,,,,,,,,,
314,116,,,,,,,,,,,,,,,,,,,,,,,,
315,116,,,,,,,,,,,,,,,,,,,,,,,,
316,116,,,,,,,,,,,,,,,,,,,,,,,,
317,116,,,,,,,,,,,,,,,,,,,,,,,,
318,116,,,,,,,,,,,,,,,,,,,,,,,,
319,115,,,,,,,,,,,,,,,,,,,,,,,,
320,115,,,,,,,,,,,,,,,,,,,,,,,,
321,115,,,,,,,,,,,,,,,,,,,,,,,,
